Date,Close/Last,Volume,Open,High,Low
11/12/2020,$63.58,2700172,$65.31,$65.98,$62.70
11/11/2020,$65.52,2745707,$67.54,$67.54,$64.845
11/10/2020,$67.84,5828303,$67.13,$69.365,$65.86
11/09/2020,$66.66,7776844,$60.95,$72.24,$60.635
11/06/2020,$55.50,1895705,$57.38,$57.9899,$54.83
11/05/2020,$56.85,2682533,$57.50,$57.70,$56.19
11/04/2020,$56.99,2150846,$58.78,$58.78,$56.92
11/03/2020,$59.01,2988607,$57.64,$59.53,$57.00
11/02/2020,$56.74,2075205,$54.10,$56.80,$53.48
10/30/2020,$53.77,1816064,$54.25,$54.68,$52.57
10/29/2020,$54.63,3347276,$52.28,$55.52,$51.66
10/28/2020,$52.26,3046355,$53.01,$53.68,$52.12
10/27/2020,$54.03,1880993,$55.72,$56.04,$53.97
10/26/2020,$55.70,2227108,$55.58,$55.79,$54.69
10/23/2020,$56.26,1352778,$55.67,$56.55,$55.325
10/22/2020,$55.25,4269311,$53.58,$55.49,$53.42
10/21/2020,$53.71,2102850,$53.71,$54.42,$53.09
10/20/2020,$54.09,1741865,$53.49,$54.31,$53.18
10/19/2020,$52.58,2135897,$54.74,$54.74,$52.4815
10/16/2020,$54.28,2602052,$54.02,$55.36,$53.34
10/15/2020,$55.05,2291974,$53.34,$55.52,$53.24
10/14/2020,$53.87,1947961,$54.31,$54.70,$53.62
10/13/2020,$54.26,2126643,$55.23,$55.38,$53.48
10/12/2020,$55.87,1492188,$56.44,$56.44,$55.26
10/09/2020,$56.31,1411858,$57.66,$57.66,$55.83
10/08/2020,$57.22,3500896,$56.61,$57.50,$56.26
10/07/2020,$56.10,2755022,$56.99,$57.23,$55.63
10/06/2020,$56.66,3443906,$57.87,$57.95,$56.27
10/05/2020,$57.47,3177736,$58.20,$58.57,$56.57
10/02/2020,$57.94,2569003,$55.40,$58.19,$54.91
10/01/2020,$56.42,4048424,$55.22,$56.45,$54.31
09/30/2020,$55.09,3399239,$55.17,$56.24,$53.93
09/29/2020,$54.50,2048779,$54.03,$54.63,$53.32
09/28/2020,$54.39,2403077,$54.80,$54.94,$53.96
09/25/2020,$53.26,2539464,$51.69,$53.31,$51.41
09/24/2020,$51.87,2733694,$51.66,$53.16,$51.22
09/23/2020,$51.96,2726949,$54.35,$54.84,$51.86
09/22/2020,$54.71,3804905,$54.15,$55.705,$54.06
09/21/2020,$54.19,5014977,$55.07,$55.46,$53.65
09/18/2020,$56.45,4996751,$57.16,$57.81,$56.34
09/17/2020,$57.78,4270510,$59.13,$59.89,$57.42
09/16/2020,$59.87,4158160,$60.95,$61.42,$59.75
09/15/2020,$60.71,4108128,$59.87,$61.44,$59.87
09/14/2020,$60.12,2796322,$59.50,$60.415,$59.41
09/11/2020,$58.87,2518106,$59.85,$60.30,$58.22
09/10/2020,$59.86,1787932,$60.33,$61.36,$59.83
09/09/2020,$60.89,2326195,$60.53,$61.725,$59.77
09/08/2020,$60.05,3370505,$60.76,$61.80,$59.99
09/04/2020,$61.12,3447482,$60.58,$61.38,$59.45
09/03/2020,$60.45,2828403,$60.15,$61.50,$59.40
09/02/2020,$60.01,2724395,$58.14,$60.10,$57.45
09/01/2020,$58.13,1390736,$57.00,$58.27,$56.51
08/31/2020,$57.52,2627833,$58.97,$59.23,$57.44
08/28/2020,$59.45,2425339,$58.02,$59.47,$57.1423
08/27/2020,$57.92,2786468,$55.60,$58.02,$55.60
